study_id,disease,biofluid,analyte_type,gene_symbol,uniprot,logfc,p_value,fdr,method,pmid,notes
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-21,NA,2.10,0.00001,0.0001,qRT-PCR,PMID:34234567,Oncogenic miRNA miR-21
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-21,NA,2.08,0.000012,0.00012,RNA-seq,PMID:34234567,Oncogenic miRNA miR-21
mirna_002,Metastatic melanoma,Plasma,miRNA,hsa-miR-21,NA,2.12,0.000008,0.00008,qRT-PCR,PMID:34567890,Oncogenic miRNA miR-21
mirna_003,Metastatic melanoma,Plasma,miRNA,hsa-miR-21,NA,2.15,0.000006,0.00006,Microarray,PMID:34890123,Oncogenic miRNA miR-21
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-155,NA,1.85,0.0001,0.001,qRT-PCR,PMID:34234567,Oncogenic miRNA miR-155
mirna_002,Metastatic melanoma,Plasma,miRNA,hsa-miR-155,NA,1.82,0.00012,0.0012,qRT-PCR,PMID:34567890,Oncogenic miRNA miR-155
mirna_003,Metastatic melanoma,Plasma,miRNA,hsa-miR-155,NA,1.88,0.00009,0.0009,RNA-seq,PMID:34890123,Oncogenic miRNA miR-155
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-221,NA,1.75,0.0002,0.002,qRT-PCR,PMID:34234567,Oncogenic miRNA miR-221
mirna_002,Metastatic melanoma,Plasma,miRNA,hsa-miR-221,NA,1.72,0.00025,0.0025,qRT-PCR,PMID:34567890,Oncogenic miRNA miR-221
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-222,NA,1.68,0.0003,0.003,qRT-PCR,PMID:34234567,Oncogenic miRNA miR-222
mirna_002,Metastatic melanoma,Plasma,miRNA,hsa-miR-222,NA,1.65,0.00035,0.0035,qRT-PCR,PMID:34567890,Oncogenic miRNA miR-222
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-17-5p,NA,1.55,0.0005,0.005,qRT-PCR,PMID:34234567,Oncogenic miRNA cluster miR-17-5p
mirna_002,Metastatic melanoma,Plasma,miRNA,hsa-miR-17-5p,NA,1.52,0.0006,0.006,qRT-PCR,PMID:34567890,Oncogenic miRNA cluster miR-17-5p
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-92a-3p,NA,1.45,0.0008,0.008,qRT-PCR,PMID:34234567,Oncogenic miRNA cluster miR-92a-3p
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-125b,NA,-1.20,0.001,0.01,qRT-PCR,PMID:34234567,Tumor suppressor miR-125b (downregulated)
mirna_002,Metastatic melanoma,Plasma,miRNA,hsa-miR-125b,NA,-1.18,0.0012,0.012,qRT-PCR,PMID:34567890,Tumor suppressor miR-125b (downregulated)
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-miR-200c,NA,-1.15,0.0015,0.015,qRT-PCR,PMID:34234567,Tumor suppressor miR-200c (downregulated)
mirna_001,Metastatic melanoma,Plasma,miRNA,hsa-let-7a,NA,-1.10,0.002,0.02,qRT-PCR,PMID:34234567,Tumor suppressor let-7a (downregulated)

