study_id,disease,biofluid,analyte_type,gene_symbol,uniprot,logfc,p_value,fdr,method,pmid,notes
evp_001,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.26,0.0001,0.001,Proteomics,PMID:33678901,PD-L1
evp_001,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.29,0.00009,0.0009,ELISA,PMID:33678901,PD-L1
evp_002,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.24,0.00012,0.0012,Western blot,PMID:33901234,PD-L1
evp_001,Metastatic melanoma,Plasma,protein,PDCD1,Q15116,1.14,0.0003,0.003,Proteomics,PMID:33678901,PD-1
evp_002,Metastatic melanoma,Plasma,protein,PDCD1,Q15116,1.11,0.00035,0.0035,ELISA,PMID:33901234,PD-1
evp_001,Metastatic melanoma,Plasma,protein,CTLA4,P16410,1.03,0.0005,0.005,Proteomics,PMID:33678901,CTLA-4
evp_002,Metastatic melanoma,Plasma,protein,CTLA4,P16410,1.00,0.0006,0.006,ELISA,PMID:33901234,CTLA-4
evp_001,Metastatic melanoma,Plasma,protein,CD9,P21926,0.90,0.001,0.01,Flow cytometry,PMID:33678901,Tetraspanin CD9
evp_002,Metastatic melanoma,Plasma,protein,CD9,P21926,0.87,0.0012,0.012,ELISA,PMID:33901234,Tetraspanin CD9
evp_001,Metastatic melanoma,Plasma,protein,CD82,P27701,0.85,0.0015,0.015,Flow cytometry,PMID:33678901,Tetraspanin CD82
evp_001,Metastatic melanoma,Plasma,protein,ITGB1,P05556,0.80,0.002,0.02,Proteomics,PMID:33678901,Integrin beta-1
evp_002,Metastatic melanoma,Plasma,protein,ITGB1,P05556,0.77,0.0025,0.025,ELISA,PMID:33901234,Integrin beta-1
evp_001,Metastatic melanoma,Plasma,protein,ITGA4,P13612,0.75,0.003,0.03,Proteomics,PMID:33678901,Integrin alpha-4
evp_001,Metastatic melanoma,Plasma,protein,MMP9,P14780,0.72,0.0035,0.035,ELISA,PMID:33678901,Matrix metalloproteinase-9
evp_002,Metastatic melanoma,Plasma,protein,MMP9,P14780,0.70,0.004,0.04,ELISA,PMID:33901234,Matrix metalloproteinase-9
evp_001,Metastatic melanoma,Plasma,protein,TIMP1,P01033,0.68,0.005,0.05,ELISA,PMID:33678901,Tissue inhibitor of metalloproteinases

