study_id,disease,biofluid,analyte_type,gene_symbol,uniprot,logfc,p_value,fdr,method,pmid,notes
exo_001,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.30,0.00008,0.0008,Mass spectrometry,PMID:32789012,PD-L1 exosomal cargo
exo_001,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.25,0.0001,0.001,ELISA,PMID:32789012,PD-L1 exosomal cargo
exo_002,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.28,0.00009,0.0009,LC-MS/MS,PMID:33012345,PD-L1 exosomal cargo
exo_003,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.32,0.00006,0.0006,Proteomics,PMID:33345678,PD-L1 exosomal cargo
exo_001,Metastatic melanoma,Plasma,protein,TSG101,Q99816,0.95,0.001,0.01,Mass spectrometry,PMID:32789012,ESCRT component TSG101
exo_002,Metastatic melanoma,Plasma,protein,TSG101,Q99816,0.92,0.0012,0.012,LC-MS/MS,PMID:33012345,ESCRT component TSG101
exo_001,Metastatic melanoma,Plasma,protein,ALIX,Q8WUM4,0.88,0.0015,0.015,Mass spectrometry,PMID:32789012,ESCRT component ALIX
exo_002,Metastatic melanoma,Plasma,protein,ALIX,Q8WUM4,0.85,0.0018,0.018,LC-MS/MS,PMID:33012345,ESCRT component ALIX
exo_001,Metastatic melanoma,Plasma,protein,FLOT1,O75955,0.82,0.002,0.02,Mass spectrometry,PMID:32789012,Flotillin-1
exo_001,Metastatic melanoma,Plasma,protein,FLOT2,Q14254,0.78,0.0025,0.025,Mass spectrometry,PMID:32789012,Flotillin-2
exo_001,Metastatic melanoma,Plasma,protein,HSP90AA1,P07900,0.75,0.003,0.03,Mass spectrometry,PMID:32789012,Heat shock protein 90
exo_002,Metastatic melanoma,Plasma,protein,HSP90AA1,P07900,0.72,0.0035,0.035,LC-MS/MS,PMID:33012345,Heat shock protein 90
exo_001,Metastatic melanoma,Plasma,protein,HSPA8,P11142,0.70,0.004,0.04,Mass spectrometry,PMID:32789012,Heat shock protein 70
exo_001,Metastatic melanoma,Plasma,protein,ACTB,P60709,0.68,0.005,0.05,Mass spectrometry,PMID:32789012,Actin beta
exo_001,Metastatic melanoma,Plasma,protein,GAPDH,P04406,0.65,0.006,0.06,Mass spectrometry,PMID:32789012,Glyceraldehyde-3-phosphate dehydrogenase

