study_id,disease,biofluid,analyte_type,gene_symbol,uniprot,logfc,p_value,fdr,method,pmid,notes
exor_001,Metastatic melanoma,Plasma,mRNA,CD274,Q9NZQ7,1.25,0.0001,0.001,RNA-seq,PMID:35123456,PD-L1 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,CD274,Q9NZQ7,1.28,0.00009,0.0009,qRT-PCR,PMID:35123456,PD-L1 mRNA
exor_002,Metastatic melanoma,Plasma,mRNA,CD274,Q9NZQ7,1.22,0.00012,0.0012,RNA-seq,PMID:35456789,PD-L1 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,PDCD1,Q15116,1.15,0.0003,0.003,RNA-seq,PMID:35123456,PD-1 mRNA
exor_002,Metastatic melanoma,Plasma,mRNA,PDCD1,Q15116,1.12,0.00035,0.0035,qRT-PCR,PMID:35456789,PD-1 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,CTLA4,P16410,1.05,0.0005,0.005,RNA-seq,PMID:35123456,CTLA-4 mRNA
exor_002,Metastatic melanoma,Plasma,mRNA,CTLA4,P16410,1.02,0.0006,0.006,qRT-PCR,PMID:35456789,CTLA-4 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,VEGFA,P15692,0.95,0.001,0.01,RNA-seq,PMID:35123456,VEGF-A mRNA
exor_002,Metastatic melanoma,Plasma,mRNA,VEGFA,P15692,0.92,0.0012,0.012,qRT-PCR,PMID:35456789,VEGF-A mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,IL8,P10145,0.88,0.0015,0.015,RNA-seq,PMID:35123456,IL-8 mRNA
exor_002,Metastatic melanoma,Plasma,mRNA,IL8,P10145,0.85,0.0018,0.018,qRT-PCR,PMID:35456789,IL-8 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,MMP9,P14780,0.82,0.002,0.02,RNA-seq,PMID:35123456,MMP-9 mRNA
exor_002,Metastatic melanoma,Plasma,mRNA,MMP9,P14780,0.80,0.0025,0.025,qRT-PCR,PMID:35456789,MMP-9 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,CD44,P16070,0.78,0.003,0.03,RNA-seq,PMID:35123456,CD44 mRNA
exor_001,Metastatic melanoma,Plasma,mRNA,SOX2,P48431,0.75,0.0035,0.035,RNA-seq,PMID:35123456,Stem cell marker SOX2
exor_001,Metastatic melanoma,Plasma,mRNA,NANOG,Q9H9S0,0.72,0.004,0.04,RNA-seq,PMID:35123456,Stem cell marker NANOG

