Gene.symbol	BRCA001	BRCA002	BRCA003	BRCA004	BRCA005	BRCA006	BRCA007	BRCA008	BRCA009	BRCA010	BRCA011	BRCA012	BRCA013	BRCA014	BRCA015	BRCA016	BRCA017	BRCA018	BRCA019	BRCA020	BRCA021	BRCA022	BRCA023	BRCA024	BRCA025	BRCA026	BRCA027	BRCA028	BRCA029	BRCA030	BRCA031	BRCA032	BRCA033	BRCA034	BRCA035	BRCA036	BRCA037	BRCA038	BRCA039	BRCA040	BRCA041	BRCA042	BRCA043	BRCA044	BRCA045	BRCA046	BRCA047	BRCA048	BRCA049	BRCA050	BRCA051	BRCA052	BRCA053	BRCA054	BRCA055	BRCA056	BRCA057	BRCA058	BRCA059	BRCA060	BRCA061	BRCA062	BRCA063	BRCA064	BRCA065	BRCA066	BRCA067	BRCA068	BRCA069	BRCA070	BRCA071	BRCA072	BRCA073	BRCA074	BRCA075	BRCA076	BRCA077	BRCA078	BRCA079	BRCA080	BRCA081	BRCA082	BRCA083	BRCA084	BRCA085	BRCA086	BRCA087	BRCA088	BRCA089	BRCA090	BRCA091	BRCA092	BRCA093	BRCA094	BRCA095	BRCA096	BRCA097	BRCA098	BRCA099	BRCA100	BRCA101	BRCA102	BRCA103	BRCA104	BRCA105	BRCA106	BRCA107	BRCA108	BRCA109	BRCA110	BRCA111	BRCA112	BRCA113	BRCA114	BRCA115	BRCA116	BRCA117	BRCA118	BRCA119	BRCA120	BRCA121	BRCA122	BRCA123	BRCA124	BRCA125	BRCA126	BRCA127	BRCA128	BRCA129	BRCA130	BRCA131	BRCA132	BRCA133	BRCA134	BRCA135	BRCA136	BRCA137	BRCA138	BRCA139	BRCA140
TSPAN6	0	1.073	0	12.694	1.159	0	0	1.339	3.134	1.607	5.014	0.098	0.517	6.519	0.319	1.545	0	0	0	0.728	0	0.929	0.433	1.135	3.578	0.749	0	0	5.435	0.953	1.817	0.196	0	0.113	2.176	0	3.063	0.963	0	6.083	0	0.433	0.923	0	0.133	3.597	0	4.663	4.241	0.902	0.826	1.318	2.136	0.372	0	5.729	10.282	1.259	0.523	0.092	2.966	0.067	0.749	4.732	2.462	3.688	10.89	2.783	1.888	2.943	1.074	0.787	1.538	0.274	3.497	1.374	1.332	0.565	3.97	1.386	0.854	1.232	3.958	1.833	0.812	1.101	6.756	4.14	0	3.92	2.198	2.878	0.812	1.152	2.994	1.14	1.725	0.274	0.103	2.005	2.178	3.016	0.056	3.001	0.051	2.291	1.448	5.476	0.354	5.534	1.517	1.38	2.483	7.58	1.768	2.814	1.203	1.168	1.105	3.655	0.558	0.804	0.388	4.435	0.751	3.094	2.576	0	0	3.313	4.012	1.478	6.403	2.119	0.419	8.601	2.082	3.233	3.872	0
TNMD	0	6.045	59.288	23.283	10.121	0	0	0	0	6.142	0	0.551	8.73	0	0	0.768	0	5.906	0	6.149	0	0	0	0	0	0	0.719	0	5.741	0.244	4.992	3.533	0.443	0	1.245	0.79	0.7	0.094	0	1.546	0	0.366	4.457	0	0	0	3.602	0.773	0.893	0	0	0	0	0	0	0	0	0	1.768	1.814	6.863	0	36.58	0	0	0	13.723	8.818	0	0	0	0	0	0	0	2.123	0	1.303	0	0	0	0.124	4.667	2.704	0	3.877	9.673	0	0	0	0.59	0.352	0	3.554	6.239	0.357	3.797	0	3.107	0.594	0.736	0	0	2.433	2.568	4.993	0	0.544	1.567	8.645	1.179	1.183	0	0	0	0	4.896	9.045	0	1.694	0	1.558	3.884	1.201	1.057	1.367	2.639	0	1.48	0	0	0	0	0	0	0	0	23.084	0	0
DPM1	30.483	135.055	28.679	88.733	43.115	10.81	62.911	26.696	54.39	70.722	68.783	126.055	131.974	54.07	37.193	119.2	47.561	84.03	34.943	96.473	50.623	63.43	59.308	82.121	69.111	68.332	86.45	70.108	85.607	90.153	103.709	58.915	55.689	67.817	55.195	30.397	86.165	43.186	80.257	81.626	166.948	58.079	107.827	75.957	91.732	47.93	54.627	133.988	74.015	66.849	74.181	36.577	48.146	27.156	85.152	123.092	49.434	66.002	43.236	35.251	40.996	43.373	58.177	72.591	39.239	84.287	52.045	109.514	40.614	45.874	79.847	55.554	63.178	64.93	83.055	70.117	74.93	50.405	75.52	85.76	32.53	122.68	73.84	55.082	94.874	106.02	84.822	22.623	82.106	35.792	40.892	85.103	53.629	57.093	64.423	65.679	84.271	75.45	112.143	67.003	81.521	59.861	69.276	52.615	82.984	55.388	75.027	57.852	56.822	87.709	53.255	65.584	75.872	83.435	119.031	73.19	71.84	113.193	82.198	75.783	77.367	40.608	84.522	41.978	63.003	45.353	52.575	54.684	66.384	85.249	41.457	56.565	13.053	53.871	56.916	96.319	84.153	155.841	71.103	108.485
SCYL3	9.212	27.483	1.524	18.672	7.637	16.379	13.523	7.938	12.193	14.217	13.95	9.474	39.819	10.778	5.961	5.51	9.008	2.763	1.425	7.877	2.084	10.233	13.127	14.775	12.935	14.732	10.353	21.006	18.903	16.751	15.413	12.604	18.184	19.117	15.392	24.831	22.91	14.183	11.391	8.287	9.939	14.35	11.698	14.548	14.828	9.195	6.677	16.287	16.113	15.95	11.839	5.854	16.886	9.314	10.545	13.006	10.708	11.322	10.546	9.272	8.166	9.552	10.942	11.755	7.217	13.444	6.483	11.779	6.05	7.542	11.272	11.644	11.393	11.266	15.19	9.755	15.397	12.937	21.546	16.926	16.372	15.83	13.039	15.064	17.921	22.582	21.143	10.166	12.584	10.27	12.342	17.727	11.292	13.012	16.838	9.848	15.559	15.125	10.014	11.402	15.559	17.063	13.667	5.961	19.859	14.099	10.089	14.814	18.262	18.046	13.405	10.71	15.486	3.16	8.456	14.602	13.831	6.386	20.733	16.825	13.002	6.889	12.323	12.587	6.486	13.189	6.326	18.89	6.491	17.939	19.827	6.961	30.968	10.258	5.56	18.113	10.373	6.612	10.658	5.233
C1orf112	12.463	0.102	8.086	0.449	12.597	7.697	4.023	4.07	9.017	14.654	12.22	5.575	6.281	0.654	5.825	0.553	11.93	1.381	6.74	7.111	1.336	13.857	2.268	11.326	15.618	10.041	9.228	2.568	5.203	7.505	6.97	3.247	5.886	11.857	0.698	4.14	0.189	8.635	2.947	11.471	1.897	3.258	2.572	3.753	3.509	14.944	1.332	0.718	13.948	5.219	8.119	8.142	8.593	35.786	4.408	4.988	2.185	9.15	7.712	25.866	14.814	6.427	13.381	6.743	1.032	17.517	9.947	4.864	10.245	3.894	2.041	3.857	5.321	10.98	11.124	6.502	9.314	8.594	12.786	4.038	14.488	9.164	4.093	8.622	6.356	3.505	8.429	9.677	7.899	3.152	5.408	5.802	7.583	8.464	8.137	3.851	2.991	12.14	8.435	6.817	4.04	4.983	3.631	4.838	3.273	18.268	11.481	4.798	6.189	5.019	16.536	8.069	11.196	24.438	5.607	8.99	3.76	6.878	2.99	3.797	1.891	4.203	8.286	8.751	9.511	4.794	2.981	3.194	8.786	11.66	4.405	7.323	15.997	7.564	3.745	0.641	0.116	3.432	15	0.094
FGR	210.242	85.967	350.857	309.832	197.31	217.546	212.794	211.715	249.756	210.954	258.096	227.919	255.899	215.798	257.055	309.245	185.296	159.113	285.446	228.793	140.095	189.417	234.895	249.746	230.897	227.915	207.589	213.981	305.003	281.395	250.202	223.424	198.361	243.002	236.205	257.019	169.896	209.283	237.796	167.713	245.241	424.605	268.152	241.589	242.336	154.884	222.747	232.604	285.254	330.957	294.457	321.59	156.207	136.115	163.209	181.402	154.287	126.66	179.307	125.238	163.039	117.226	261.791	99.597	217.462	211.09	167.107	223.936	186.758	219.437	150.728	187.875	234.598	285.99	245.901	202.877	262.522	194.586	161.708	180.769	238.968	243.621	270.666	213.816	279.335	209.064	190.565	119.376	184.322	249.302	162.498	217.268	158.784	197.862	267.63	148.325	168.565	230.564	314.175	262.546	232.616	229.376	319.723	172.953	191.111	236.399	162.886	221.015	306.764	236.078	148.295	138.363	211.103	217.144	254.533	234.084	215.913	237.262	279.531	140.829	169.905	220.029	264.689	216.211	175.662	181.014	273.538	238.967	212.466	181.473	256.212	223.328	228.799	190.706	209.859	200.238	224.623	224.731	216.627	148.116
CFH	4.854	2.763	1.03	29.914	15.941	7.049	4.15	10.148	10.428	16.998	6.559	3.485	11.504	5.273	6.756	9.768	4.511	24.827	1.806	4.457	6.915	5.264	3.028	2.529	3.295	3.544	2.045	0.873	7.827	4.534	1.998	4.649	7.399	2.811	3.635	9.009	10.764	4.217	1.601	9.881	13.355	1.037	2.912	7.444	0.025	2.857	7.12	3.818	3.421	4.905	2.676	6.201	1.119	1.923	6.997	2.987	14.097	3.504	9.378	1.28	3.952	2.279	7.787	6.284	12.622	2.361	4.84	7.049	1.595	2.124	3.973	4.189	1.595	2.851	3.197	3.677	3.772	1.145	2.561	1.338	3.026	3.014	9.277	3.693	12.138	3.257	1.536	2.899	1.039	8.552	2.535	4.181	1.568	3.329	5.184	3.738	6.634	0.712	6.179	4.524	6.113	4.235	4.883	2.785	3.469	3.37	2.131	4.556	3.633	5.826	2.417	5.477	1.505	0.561	2.729	5.607	8.189	4.194	6.324	11.23	1.887	0.42	6.023	1.33	2.137	8.578	3.455	7.091	13.641	4.652	8.44	3.475	11.151	1.207	0.934	1.737	0.764	10.057	3.095	5.313
FUCA2	27.187	1.524	10.516	16.297	15.997	13.828	30.169	21.067	31.38	25.344	0.775	1.588	0	0.399	3.975	29.815	2.192	12.937	1.405	15.191	6.658	6.031	14.847	3.226	5.363	9.814	15.656	1.352	11.54	16.034	23.38	22.914	9.448	2.937	20.54	22.5	3.361	17.315	1.102	3.268	0	14.834	10.418	8.925	11.676	12.848	23.761	9.601	11.263	8.447	5.716	20.086	2.856	6.213	5.058	5.328	5.027	11.196	12.23	7.617	10.32	10.462	8.921	9.283	9.65	11.277	24.508	10.73	2.643	11.859	3.363	10.37	12.488	15.737	13.95	11.516	16.191	7.261	7.775	10.278	3.972	15.433	11.957	9.21	20.236	10.393	1.737	12.73	12.621	18.576	8.921	6.705	7.596	7.304	12.122	1.851	6.741	19.193	12.871	8.053	1.839	12.881	27.565	1.846	4.606	8.493	17.136	15.168	12.073	6.871	15.031	3.993	11.467	23.557	8.696	10.71	18.454	13.651	13.707	2.554	9.612	8.081	6.857	8.586	6.028	1.379	13.689	1.426	14.824	9.122	6.786	5.156	13.051	10.48	3.66	0.685	6.762	4.254	11.662	4.298
GCLC	19.738	28.773	10.191	42.426	21.461	16.782	12.862	31.219	17.3	26.368	15.405	42.429	1.626	18.774	18.368	7.247	39.13	32.04	48.782	17.448	8.972	16.692	17.746	20.174	15.543	30.862	17.367	19.112	25.245	23.013	18.684	24.448	36.005	25.418	20.03	29.116	32.157	7.841	16.391	18.184	17.895	13.581	27.593	26.705	12.783	33.531	52.041	28.345	37.88	18.883	18.239	22.744	20.493	55.862	25.859	26.418	22.501	26.121	20.687	17.321	17.058	9.646	20.894	31.694	16.879	14.571	23.751	14.741	17.761	16.982	23.984	15.052	24.289	25.802	19.543	13.625	29.225	15.071	26.456	27.192	26.8	28.598	48.282	9.932	19.377	27.399	35.731	18.061	36.39	24.72	14.162	20.873	21.709	30.96	29.993	30.164	38.008	15.105	39.626	26.179	20.659	20.84	23.087	20.128	16.793	14.739	15.955	19.768	22.338	14.586	14.759	24.352	16.698	23.233	21.705	31.967	28.544	16.506	26.196	35.281	34.112	13.052	19.937	15.836	30.653	18.994	22.633	35.637	37.345	12.09	18.239	21.278	17.615	20.649	18.888	20.921	28.797	22.984	9.959	25.963
NFYA	46.115	77.089	60.278	16.159	52.828	83.405	77.128	89.083	42.533	56.27	36.939	45.51	164.427	51.96	57.884	71.611	43.583	13.307	119.678	75.706	24.816	47.712	72.444	56.24	53.93	72.118	65.627	56.472	58.268	75.711	45.394	62.089	61.662	49.101	46.09	57.381	45.762	42.535	76.525	112.28	94.581	73.99	69.87	74.776	83.144	63.689	55.567	84.147	78.674	85.183	69.973	41.785	33.786	55.019	44.863	53.984	75.913	35.621	69.588	33.166	33.657	45.044	42.349	38.709	78.606	61.362	82.531	64.899	49.283	59.154	52.495	45.6	73.031	72.9	49.578	54.964	58.151	48.137	60.32	54.818	47.679	61.528	68.57	55.866	80.095	64.29	73.358	29.481	60.729	71.919	50.559	53.311	54.534	74.287	78.783	57.279	83.919	51.811	52.579	74.838	75.279	60.231	76.592	27.701	72.277	40.589	40.63	49.218	68.736	57.826	48.608	75.734	75.832	24.945	81.59	58.605	54.098	65.447	46.65	71.84	66.873	42.053	39.128	50.136	30.725	25.985	57.13	24.785	44.238	69.599	56.101	64.624	51.23	57.987	54.64	37.931	60.074	81.399	61.166	37.949
