Gene.symbol	CRC01	CRC02	CRC03	CRC04	CRC05	CRC06	CRC07	CRC08	CRC09	CRC10	CRC11	CRC12	CRC13	CRC14	CRC15	CRC16	CRC17	CRC18	CRC19	CRC20	CRC21	CRC22	CRC23	CRC24	CRC25	CRC26	CRC27	CRC28	CRC29	CRC30	CRC31	CRC32	CRC33	CRC34	CRC35
TSPAN6	0.299	1.452	0.692	0.366	0	0	0.576	3.31	0	0	0.211	0	0	2.647	0.476	6.457	0	1.117	2.469	13.998	1.619	6.813	7.676	3.121	0.249	0	0	0	10.974	0	1.325	1.208	7.26	1.231	0
TNMD	0	0	0.139	0	0	0	0	0	0	5.13	0	0	20.449	1.826	0	0	0	0.3	0	0	3.419	0	31.838	0	0	15.87	0.606	33.435	0	0	0	0	0	0	0
DPM1	82.686	58.698	26.005	24.575	17.488	31.833	34.807	61.889	168.054	74.015	37.182	112.887	30.307	61.707	62.781	83.928	90.894	36.979	76.209	79.737	25.846	92.104	116.729	23.693	39.279	210.569	136.626	31.182	38.682	60.135	36.764	26.468	49.102	43.938	44.228
SCYL3	3.136	11.341	2.638	4.524	7.448	7.111	7.759	5.157	24.291	8.621	5.099	13.292	2.923	13.775	21.984	16.57	9.218	6.975	11.853	10.599	7.617	14.548	17.324	6.925	3.663	21.882	19.706	12.271	27.059	1.329	5.641	12.068	14.564	6.691	2.35
C1orf112	22.793	14.553	22.544	14.79	17.002	10.869	16.428	10.595	0.794	1.093	23.142	5.247	0	7.637	5.345	14.761	8.949	12.574	12.377	7.764	12.565	4.392	4.869	1.065	17.152	1.409	23.33	0.88	13.328	23.466	13.556	26.157	18.761	17.541	0.542
FGR	289.346	163.917	33.495	23.176	61.691	99.823	110.409	181.069	354.358	215.925	154.857	269.478	208.625	331.321	259.681	168.638	261.164	253.622	398.241	211.976	108.512	237.184	222.507	175.283	92.496	220.544	176.488	308.388	299.068	74.524	65.595	50.183	180.288	111.278	235.152
CFH	3.554	3.252	1.101	1.651	0.582	1.442	0.379	7.914	5.319	15.959	0	16.398	9.375	3.339	6.507	3.044	4.122	3.258	8.053	3.708	0.772	1.389	12.351	10.569	1.201	0	8.386	3.6	4.535	2.245	2.213	0.784	2.246	11.48	20.655
FUCA2	13.136	14.198	17.901	7.52	12.879	12.793	17.591	0.253	27.547	14.709	11.056	18.305	6.794	11.491	8.071	13.189	9.56	8.811	12.505	0	8.635	19.951	0	0	14.415	0	9.433	0.157	86.338	10.64	16.219	20.262	11.789	16.489	0
GCLC	19.851	12.418	2.334	5.711	7.075	8.124	5.957	6.087	14.718	9.679	5.413	23.625	16.422	22.924	38.525	9.122	18.927	6.976	5.767	36.651	11.037	18.729	9.511	30.571	20.497	20.258	26.296	25.005	20.948	6.941	4.972	2.85	19.887	15.657	13.284
NFYA	36.856	37.386	14.002	12.521	11.53	20.549	29.521	33.966	55.061	28.746	25.817	9.949	12.358	68.08	49.458	37.363	62.708	33.996	45.194	36.067	30.542	62.395	35.963	23.877	23.301	105.77	56.074	32.613	37.427	22.345	22.802	21.316	31.295	25.268	70.462
STPG1	0	4.733	0.606	0.606	0.962	1.697	0.084	0.041	1.007	2.273	2.321	0	0.43	0.23	2.198	0.555	3.634	0.652	0.219	3.88	1.324	0	3.06	0	1.017	1.738	0.42	6.016	2.11	0.873	2.172	0.858	1.633	0.984	0.95
NIPAL3	11.097	9.317	14.448	19.239	6.413	10.175	18.172	10.929	10.749	11.349	12.461	23.593	11.013	10.187	20.731	24.181	12.06	12.314	10.292	9.989	18.175	12.086	16.935	10.874	9.243	21.021	13.316	1.396	18.223	16.227	19.415	7.28	10.27	14.989	2.408
LAS1L	8.92	18.874	5.135	5.077	8.286	14.1	12.613	21.107	16.229	8.323	7.069	47.795	36.162	27.31	27.588	22.054	29.184	14.893	14.788	13.556	16.51	30.897	27.318	32.2	9.425	20.151	17.459	42.989	26.897	10.942	9.18	4.736	18.983	8.49	53.256
ENPP4	3.309	5.123	4.435	3.367	1.806	4.841	2.96	13.707	13.389	4.954	1.155	9.099	5.801	9.271	7.425	6.397	7.73	4.098	4.471	0	1.296	0.771	0	0.062	5.339	0	4.825	0.094	5.957	5.652	3.28	3.925	5.663	6.601	0
SEMA3F	0.281	0.877	0.465	0.534	0	0.203	1.475	3.659	4.161	6.261	0	0	0	1.98	1.988	5.04	6.245	2.9	0	0.053	0.326	7.545	0	16.58	0.858	3.483	0	0	27.854	0.118	1.916	0	7.277	0	0
CFTR	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0.834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKIB1	67.232	80.306	47.419	65.866	29.454	49.873	37.983	71.604	94.018	62.039	72.009	60.967	63.844	53.433	46.312	60.938	56.58	56.542	80.659	61.137	61.07	60.471	31.217	52.183	40.951	58.892	87.451	47.078	77.356	39.758	61.587	52.103	61.675	74.184	89.164
CYP51A1	1.621	1.006	0	0	0.361	0	0	0.049	0	0	0	0	0	0.137	0	0.264	0	0.673	0.298	0	0	0	0	0	0.315	0	0	0	0	0	0	0	0	0.389	0
KRIT1	0.39	10.485	1.265	1.841	4.583	1.933	1.186	1.736	2.182	9.109	6.801	8.32	6.965	7.977	2.242	1.713	0.128	4.628	4.212	13.656	2.366	7.337	2.784	1.024	1.516	12.734	12.321	0	16.375	3.316	1.341	2.795	2.241	6.074	19.556
RAD52	0.323	5.611	3.425	0.835	4.524	1.752	0.906	0	5.439	0	0	0.117	1.146	4.327	4.006	1.465	0.631	2.015	3.818	0	1.314	6.189	14.523	4.757	2.065	2.327	0	6.789	14.572	0.136	1.986	0.654	3.143	2.998	0
BAD	73.451	44.325	33.604	21.034	16.772	34.962	39.188	54.695	76.223	49.123	108.36	24.491	29.583	44.611	19.937	26.13	48.755	71.615	39.337	24.128	90.709	36.501	0.16	78.475	36.569	76.567	79.221	38.434	49.865	44.838	43.841	45.958	60.402	32.684	79.557
LAP3	53.273	63.857	17.356	32.954	35.339	65.434	35.744	58.881	151.056	55.073	46.162	140.569	108.125	61.622	163.584	64.57	186.973	42.452	52.972	92.58	38.924	122.367	100.446	131.117	75.353	95.038	64.709	50.412	105.867	42.581	26.989	30.144	53.547	47.564	126.934
CD99	0.532	0.415	0.32	0.338	0.439	0.399	0.628	0.036	0.046	0.177	0.39	0.1	0	0.299	0.098	0.288	1.884	1.031	0.054	0	0.213	0.337	0	0	0.306	0	0	0	0	1.164	0.376	0.372	0	0	0
HS3ST1	0.51	0	0.165	0	0.554	0.21	0.523	1.817	2.68	0.133	0	0	1.792	1.35	0	0.896	0.129	1.034	0.947	0	0.449	0	0.806	4.316	0.138	0	0.239	0	0.503	0.14	0	0.112	0	0	0
AOC1	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.256	0	0	0	0.126	0	0	0	0	1.362	0	0	0	8.931	0	0	0	0	0	0	0	0
