Gene.symbol	GBM01	GBM02	GBM03	GBM04	GBM05	GBM06	GBM07	GBM08	GBM09	GBM10	GBM11	GBM12	GBM13
TSPAN6	2.354	0	0.337	25.931	8.375	3.62	3.545	0	0	0	10.725	0.352	0
TNMD	0	0	0.948	0	0	0	0	0	0	0	0	0.991	0
DPM1	28.009	3.071	0	45.355	68.179	0	0	0	0	0	24.178	0	0
SCYL3	12.667	10.232	0	18.558	20.233	2.253	0	0.138	8.544	1.404	2.827	0	0
C1orf112	0.298	0.621	0	7.815	13.791	0	0	0	14.783	7.289	3.26	0	0
FGR	628.964	137.641	0.879	443.564	358.962	283.573	0	0.546	76.177	0	103.603	0	0
CFH	10.049	5.916	0.75	0.249	18.652	0	0	0	0	0	0	0	0
FUCA2	1.911	0	0	0	0	0	0	0	0	0	0	0	0
GCLC	1.235	1.286	0	18.526	1.464	14.348	0	0	0	0	2.25	0	0
NFYA	3.268	0.973	0	14.897	21.593	134.275	2.109	0.498	0	0	0	123.478	0
STPG1	1.463	23.954	1.794	4.288	18.594	0.75	8.499	70.739	3.455	0	2.286	0.375	0.941
NIPAL3	15.326	23.256	0	28.891	38.368	0.194	0.855	0.101	9.38	0	1.034	63.101	0
LAS1L	0.637	0	0.82	2.539	0	29.704	0	0	10.522	0	1.74	0.285	0
ENPP4	0.765	0.797	0	3.052	0	0	0	0	0	1.039	8.366	0	0
SEMA3F	0	0.768	0	0	1.312	0	0	0.196	0	0	0	0	0
CFTR	5.523	3.967	0	2.604	47.427	0.683	0	0	0	0	0	0.171	0
ANKIB1	9.733	48.868	0.214	15.925	29.298	37.612	0	0	8.248	0	0	0.224	0
CYP51A1	0	5.171	0	0	0	0	0	0	0	0	0	0	0
KRIT1	4.589	10.157	0.246	4.249	5.102	4.117	0	0	0	1.558	7.84	0	0
RAD52	11.466	3.539	1.458	11.13	15.108	0	0	0.226	21.053	0	0	0	0
BAD	28.128	13.021	4.47	28.49	3.706	53.939	0	3.886	0	0	0	1.868	98.44
LAP3	15.043	43.09	0	13.928	68.569	0	0	603.943	23.306	126.405	167.051	0	0
CD99	0	0	0	1.238	0	0	0	0	0	0	0	0	0
HS3ST1	3.704	0	1.683	3.228	2.326	0	3.937	0.232	3.601	0.592	0	0.195	0
AOC1	0	0	0	1.06	0	0.239	0	0	0	0	0	0	0
WNT16	4.365	0	0.936	0	0	0.28	4.93	0	0	0	0	0	0
HECW1	4.077	7.167	0.109	2.033	18.131	2.743	0	0.611	0	0	0	0	0
MAD1L1	0.492	1.538	0.845	2.243	20.137	19.555	0	0	0	0	0	1.765	1.107
LASP1	33.263	36.222	0	51.687	38.549	52.319	2.277	18.127	8.329	0	0	0	0
SNX11	25.659	1.028	0	59.039	3.511	105.989	6.687	0.526	0	0	0	0	0
TMEM176A	0	0	0	0	0	16.78	0	0	0	0	0	0	0
M6PR	0.942	41.218	0	18.789	1.676	0	0	102.92	0	102.362	0	62.506	48.755
KLHL13	0	0.531	0.219	0.581	0	0.131	0	0	0	0	0	0	0
CYP26B1	0	0	3.958	0	1.262	0	3.205	2.647	0	0	0	0.636	0
ICA1	11.642	6.063	0.937	11.607	22.002	0	0	24.231	6.012	0.988	0	0	1.637
DBNDD1	0	0.774	0	0	0	0	0	0.198	0	0	0	0	0
ALS2	15.936	16.777	0	4.491	13.411	0	0.774	0.639	0	0	0.937	0.307	0
CASP10	3.747	3.903	0	15.477	31.659	0	0	0	38.7	0	0	30.022	0
CFLAR	52.206	4.936	30.161	50.489	22.478	11.499	0	20.159	15.662	0	4.318	14.444	0
TFPI	0.304	22.467	156.685	6.577	66.468	0.234	2.745	0.567	5.02	6.188	0	14.299	7.518
NDUFAF7	0	5.076	0	3.887	45.079	0.75	0	0	0	0	0	0	0
RBM5	12.356	5.005	0.736	24.64	20.758	9.062	0	73.066	0	1.864	0	47.08	24.711
MTMR7	7.502	10.419	0.268	3.206	6.673	0.16	0	0	20.663	0	6.836	0	0
SLC7A2	2.251	0	0	2.308	6.406	0.115	0	0	0	0	0	0.202	0
ARF5	116.974	47.547	0	100.782	91.349	1.463	0	20.27	220.02	18.081	0	0.853	38.513
SARM1	0.479	0.666	0	0.364	0.568	0	0	0.085	2.64	0	0	0	0
POLDIP2	3.356	0	0	61.18	41.783	0	0	0	0	0	0	0	0
PLXND1	0	0.381	0	0	9.101	0.281	0	0.195	0	0	0	0	0
AK2	24.545	30.42	0.267	0.708	14.369	19.591	0	66.056	15.403	0	0	0.279	0
CD38	0.519	1.081	0.223	0.887	36.014	0.133	0	0	0	0	0	0	1.168
FKBP4	8.931	0	0	0	0	0	0	0.183	0	0	0	0	0
KDM1A	3.598	47.697	0	8.945	30.254	0.168	0	0.174	0	0	0	0.88	0
RBM6	16.814	14.214	1.046	18.326	91.025	14.99	0	0.39	0	0	0	0	0
CAMKK1	4.554	4.494	0	0.819	10.232	0.86	0	0.255	0	0.651	1.31	11.173	0
RECQL	16.955	12.755	11.317	26.297	0	0	0	0	0	17.909	0	1.267	10.596
VPS50	1.676	13.963	0.16	5.94	15.234	1.05	0	0	0	1.517	0	0	0
HSPB6	0	0	0.887	1.178	0	0	0	0.551	0	0	0	0	0
ARHGAP33	0.338	2.819	0	0.385	1.203	0	0	0	0	0	0	0	0
NDUFAB1	56.716	0	0	19.008	47.476	3.991	0	40.295	73.51	0	79.036	62.81	5.004
PDK4	21.656	7.382	0	9.422	14.008	0	0	1.049	65.068	0	0	2.471	0
SLC22A16	4.554	0.949	0	0.519	1.62	0	0	0.728	0	0	0	0.408	0
ZMYND10	7.545	0	0.381	4.552	4.737	0	0	0	7.335	0	0	0	0
