Gene.symbol	HCC001	HCC002	HCC003	HCC004	HCC005	HCC006	HCC007	HCC008	HCC009	HCC010	HCC011	HCC012	HCC013	HCC014	HCC015	HCC016	HCC017	HCC018	HCC019	HCC020	HCC021	HCC022	HCC023	HCC024	HCC025	HCC026	HCC027	HCC028	HCC029	HCC030	HCC031	HCC032	HCC033	HCC034	HCC035	HCC036	HCC037	HCC038	HCC039	HCC040	HCC041	HCC042	HCC043	HCC044	HCC045	HCC046	HCC047	HCC048	HCC049	HCC050	HCC051	HCC052	HCC053	HCC054	HCC055	HCC056	HCC057	HCC058	HCC059	HCC060	HCC061	HCC062	HCC063	HCC064	HCC065	HCC066	HCC067	HCC068	HCC069	HCC070	HCC071	HCC072	HCC073	HCC074	HCC075	HCC076	HCC077	HCC078	HCC079	HCC080	HCC081	HCC082	HCC083	HCC084	HCC085	HCC086	HCC087	HCC088	HCC089	HCC090	HCC091	HCC092	HCC093	HCC094	HCC095	HCC096	HCC097	HCC098	HCC099	HCC100	HCC101	HCC102	HCC103	HCC104	HCC105	HCC106	HCC107	HCC108	HCC109	HCC110	HCC111	HCC112
TSPAN6	2.164	4.998	11.937	0.637	0.493	0	9.78	2.207	1.145	3.848	0	1.572	0	1.57	0	0.317	2.382	1.293	1.89	1.684	3.03	0	0	3.958	2.438	0	0.123	0.474	1.907	2.368	0.107	0	0.178	0	0.643	3.709	3.196	3.164	2.656	4.468	0	2.269	0.862	2.527	3.836	0	1.269	1.115	2.838	0.459	9.239	3.879	1.391	3.314	9.121	0.086	6.417	0	0.763	13.416	0.19	0	0	0	8.397	0	2.285	0	1.444	0	0	1.531	0	0	0.983	0	1.811	0	36.144	0.898	1.139	0.933	8.228	0.263	2.303	0	0.261	5.836	4.495	0.227	6.374	22.425	3.104	4.323	0	0	0.154	0.67	2.277	1.141	1.692	1.339	0	0.306	7.966	2.105	5.214	0.241	0.146	6.338	2.226	0
TNMD	0	8.281	4.719	0	0.278	0	0	0	0	0	0	0	0.313	0	10.529	0	0	0	1.638	0.365	13.731	0	0	1.967	0	0	0	0	3.477	2.425	0	0	0.25	0	0	0	0	0	7.887	0	0	0	0	0	0.177	0	0	0	0	0	8.35	0	0	0	0	0	0	11.415	0	0	1.072	0	0	0	0	0	0	3.232	0	3.894	69.751	2.515	4.138	0	6.579	0	3.4	0	1.596	0.361	6.018	0	0	0	0	10.507	0	0	0	0	0	5.62	0	0	2.43	0	29.533	0	0	7.232	2.28	0	0	0	1.257	0.383	0	5.082	0	0	0	7.539
DPM1	47.537	44.734	76.324	56.452	87.807	68.669	43.258	2.303	85.416	23.963	48.616	26.324	69.748	37.753	80.32	82.093	50.481	41.912	52.99	86.125	48.017	112.612	26.533	73.481	54.504	72.548	37.789	15.598	57.334	83.699	50.715	59.081	55.755	7.932	41.76	28.537	85.955	35.661	76.337	26.341	7.858	46.543	58.786	67.318	43.005	47.017	57.977	23.349	84.913	117.926	76.479	124.49	95.033	48.814	27.977	37.16	49.113	48.447	23.662	80.512	52.9	91.811	25.161	28.388	65.031	20.269	43.883	51.018	44.89	31.162	68.295	87.223	63.218	56.71	80.369	158.324	48.986	28.196	81.738	51.551	44.416	24.529	4.842	29.127	20.192	5.206	20.569	50.545	113.013	27.254	81.364	27.285	45.705	63.408	56.569	55.308	33.021	105.21	22.38	72.085	22.943	38.845	51.482	50.848	81.893	29.344	34.129	31.862	59.337	38.253	75.109	76.09
SCYL3	9.543	8.619	10.142	18.599	7.082	19.39	11.256	2.787	7.759	5.313	11.221	10.505	11.792	6.31	14.239	21.037	3.736	4.687	7.376	15.103	14.063	6.555	6.107	12.732	13.654	9.803	8.324	4.845	9.98	6.169	9.529	7.016	14.812	28.123	7.807	9.368	21.002	12.895	19.204	12.03	7.683	6.303	10.309	16.837	19.102	14.109	3.169	26.457	14.022	1.917	13.118	23.274	14.374	9.87	10.916	6.346	1.879	3.52	1.509	6.998	6.895	14.365	4.192	16.075	14.34	10.944	13.3	4.914	6.055	5.556	15.187	12.186	6.071	9.36	10.044	17.288	15.033	9.633	4.554	10.899	5.537	11.412	6.336	4.415	4.263	4.564	6.699	14.078	16.318	6.497	19.53	10.043	5.693	14.515	8.887	16.212	14.832	18.106	3.52	5.075	8.968	7.596	0	13.803	3.989	6.891	7.543	6.459	16.552	10.588	13.846	11.58
C1orf112	9.869	15.751	4.138	4.983	8.319	5.086	11.902	21.988	7.831	5.769	10.65	5.803	3.717	13.841	10.032	5.174	23.428	10.075	1.768	3.248	6.909	0.756	6.821	5.928	10.284	13.725	6.059	13.973	9.892	8.261	12.701	11.27	15.735	9.348	13.823	2.416	2.877	3.858	1.473	9.719	31.836	9.554	17.977	4.845	2.533	0.451	2.386	4.077	8.087	12.838	3.304	8.775	6.738	6.65	4.386	15.066	11.018	6.3	9.573	13.595	7.086	2.447	5.09	2.632	9.508	0.539	2.991	11.919	4.291	7.354	13.014	7.271	11.976	1.928	12.893	0	7.799	15.537	9.042	9.551	15.046	15.189	7.007	11.883	8.002	18.063	46.262	11.953	5.342	25.928	10.272	3.275	11.987	7.392	8.582	3.43	11.074	0.849	14.779	3.252	6.654	6.162	2.591	19.118	2.664	13.11	16.503	6.765	1.293	7.889	5.989	4.611
FGR	55.851	68.501	89.806	274.592	187.036	175.556	341.155	291.012	170.516	269.721	171.982	187.313	251.329	46.524	196.412	253.323	237.588	130.002	122.612	338.62	177.32	178.257	151.144	227.035	189.846	188.452	159.954	68.592	133.873	139.641	94.674	198.255	250.435	197.353	232.983	180.772	237.485	208.034	212.74	82.064	139.809	167.232	134.769	247.234	189.887	307.208	175.011	318.462	238.198	209.123	274.683	384.21	364.562	185.52	134.625	204.157	160.708	145.719	201.289	134.757	174.357	157.393	101.405	139.108	215.877	216.27	285.711	163.276	165.048	192.899	196.704	161.68	185.303	176.666	95.163	118.434	154.909	106.07	83.569	115.5	97.611	189.403	213.66	99.826	109.812	259.755	53.258	220.809	146.071	93.951	170.115	219.915	168.214	157.359	265.949	114.175	155.285	340.555	46.767	247.191	132.249	196.911	278.077	71.964	307.573	156.032	278.413	91.308	305.307	313.368	311.23	281.135
CFH	6.766	5.811	3.906	2.383	30.087	6.53	246.111	4.607	1.245	3.023	6.578	14.228	3.033	0.524	26.797	21.774	2.361	6.841	11.172	4.038	10.563	0.692	2.457	10.176	3.054	1.265	3.619	0.991	4.935	4.853	19.206	0.665	2.523	12.164	3.273	6.589	4.074	3.892	6.316	1.759	0.141	37.832	6.276	2.398	15.687	10.331	3.273	4.968	3.752	2.273	9.105	2.312	6.727	9.3	13.785	10.343	0	7.384	2.444	11.412	2.119	14.339	2.89	7.362	22.518	0	5.796	3.088	1.754	2.617	7.847	1.846	13.309	3.813	9.446	16.219	7.864	0.432	173.173	3.784	1.19	8.012	13.302	1.975	4.58	6.172	0.943	3.8	1.866	2.524	29.16	33.325	6.026	7.869	3.668	52.646	29.703	5.308	7.413	6.791	12.248	2.029	3.014	39.932	4.507	1.664	8.2	4.923	6.142	7.836	5.057	3.899
FUCA2	17.84	12.411	19.212	11.828	7.845	7.828	36.283	4.678	12.835	21.567	13.536	2.771	5.776	16.57	13.657	2.828	0	8.4	3.541	26.495	8.343	18.376	2.389	3.402	19.002	17.889	9.759	8.859	15.668	7.863	7.132	24.078	32.318	22.803	10.888	18.929	24.718	12.544	17.602	7.63	10.496	26.885	11.102	14.732	2.961	0	5.206	25.528	9.215	10.441	16.766	20.749	12.137	20.88	4.534	13.755	0	13.459	27.888	1.815	7.723	15.205	13.32	2.556	16.973	1.153	7.421	8.695	16.415	19.976	31.011	3.935	4.12	8.032	5.589	7.041	8.036	10.504	9.383	14.991	15.494	2.812	2.254	11.734	11.397	9.172	6.561	16.222	8.494	4.969	10.474	20.603	12.396	12.554	4.329	4.362	23.408	7.013	12.231	2.084	8.362	14.251	14.217	13.78	13.142	9.594	1.396	9.472	16.727	16.612	10.265	15.934
GCLC	23.052	40.168	24.001	35.631	16.913	25.551	6.558	22.023	18.072	17.417	15.559	38.067	25.363	29.481	21.384	15.446	18.268	15.433	36.149	18.884	18.659	4.958	19.909	24.302	4.987	10.664	19.172	18.851	16.302	24.611	18.262	17.018	7.457	14.637	19.079	14.916	33.043	35.89	40.142	39.035	19.977	9.232	13.958	29.88	34.768	14.57	16.713	23.235	12.705	25.698	32.185	11.395	13.746	17.523	31.147	9.856	25.181	14.686	21.621	28.05	10.778	22.257	11.943	9.412	21.033	22.19	22.907	13.542	26.513	28.712	14.647	15.856	15.059	19.426	56.808	10.964	16.02	18.663	13.788	13.452	21.142	19.917	33.695	11.303	15.014	24.485	11.964	18.419	25.68	7.847	38.305	19.255	14.125	17.442	22.746	13.019	15.123	10.977	4.411	17.47	10.419	13.616	38.109	16.122	21.394	10.758	27.939	11.83	24.265	16.806	34.258	17.548
NFYA	46.554	31.484	80.868	62.307	69.349	57.711	38.229	29.03	51.704	41.271	36.394	63.49	58.07	31.574	77.289	68.705	43.656	40.977	47.061	47.311	37.784	74.735	70.202	68.848	39.312	72.581	46.414	27.805	35.382	50.328	43.47	70.111	44.305	50.027	67.332	47.923	44.138	59.711	41.519	46.571	20.889	51.374	30.2	84.873	55.079	77.279	23.449	43.548	52.58	74.941	69.021	86.676	70.695	67.362	51.281	37.712	47.23	58.745	60.633	88.694	44.603	51.017	40.442	50.573	37.522	35.476	59.371	27.537	36.715	40.3	98.432	66.026	51.803	47.543	50.908	39.956	57.174	19.862	32.764	41.046	44.405	42.331	39.284	17.668	37.456	79.013	14.27	46.613	34.723	34.257	46.421	64.1	32.545	53.816	64.2	55.108	48.071	49.982	17.72	81.136	42.023	36.201	30.304	36.758	64.311	34.67	27.567	21.399	55.107	46.145	23.576	76.649
