Gene.symbol	Healthy001	Healthy002	Healthy003	Healthy004	Healthy005	Healthy006	Healthy007	Healthy008	Healthy009	Healthy010	Healthy011	Healthy012	Healthy013	Healthy014	Healthy015	Healthy016	Healthy017	Healthy018	Healthy019	Healthy020	Healthy021	Healthy022	Healthy023	Healthy024	Healthy025	Healthy026	Healthy027	Healthy028	Healthy029	Healthy030	Healthy031	Healthy032	Healthy033	Healthy034	Healthy035	Healthy036	Healthy037	Healthy038	Healthy039	Healthy040	Healthy041	Healthy042	Healthy043	Healthy044	Healthy045	Healthy046	Healthy047	Healthy048	Healthy049	Healthy050	Healthy051	Healthy052	Healthy053	Healthy054	Healthy055	Healthy056	Healthy057	Healthy058	Healthy059	Healthy060	Healthy061	Healthy062	Healthy063	Healthy064	Healthy065	Healthy066	Healthy067	Healthy068	Healthy069	Healthy070	Healthy071	Healthy072	Healthy073	Healthy074	Healthy075	Healthy076	Healthy077	Healthy078	Healthy079	Healthy080	Healthy081	Healthy082	Healthy083	Healthy084	Healthy085	Healthy086	Healthy087	Healthy088	Healthy089	Healthy090	Healthy091	Healthy092	Healthy093	Healthy094	Healthy095	Healthy096	Healthy097	Healthy098	Healthy099	Healthy100	Healthy101	Healthy102	Healthy103	Healthy104	Healthy105	Healthy106	Healthy107	Healthy108	Healthy109	Healthy110	Healthy111	Healthy112	Healthy113	Healthy114	Healthy115	Healthy116	Healthy117	Healthy118
TSPAN6	0.905	1.936	2.074	2.372	0.329	0.596	0.696	0	0	0.072	1.354	8.261	2.63	0.817	1.487	4.884	0.697	0	0	0.703	5.655	0	0	6.87	1.429	2.108	0.979	2.392	11.427	2.072	0.279	0	0.587	0.563	0	1.879	2.885	3.619	0	0	3.256	0.463	5.367	0.343	2.214	3.056	0	0	0	0	1.194	3.92	1.52	0.079	1.723	3.4	0.15	0	1.345	0	7.273	0	0	3.811	1.511	9.618	0	4.411	0	0	1.081	0	0.651	6.25	19.206	26.184	5.795	4.927	8.679	0	0	0.219	8.745	0	0	10.952	13.169	0	4.653	7.624	0	0.408	0.059	0	4.564	0	0	8.248	0.82	0	0.193	0	0.146	0	4.765	0.762	0.19	1.757	0	0.299	6.074	2.269	0	0.207	2.613	0	0.539	0
TNMD	0.849	0.321	0	0	0	0	0	2.55	13.718	0	4.197	0.994	1.807	0.837	0	0	0.654	0	0	0	0	0	8.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.464	0	0	0	32.271	0	0.567	0	4.64	0	0	0	6.502	0	0	0.665	0	0	0	5.114	0	0	0	0	0	19.44	0	0	0	24.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.816	1.638	0	0	0	0	0.559	3.086	0	0	0	0	0	0	0	0	1.449	0	0	0	0	0	0	13.265	0	0	2.211	0	0	0	0
DPM1	80.436	44.506	69.688	45.634	32.988	35.83	52.589	23.469	41.977	70.488	78.881	145.369	81.451	55.804	39.948	12.704	35.768	46.395	130.173	47.527	53.653	30.207	89.507	81.597	76.63	44.552	103.378	54.522	66.019	86.863	71.748	47.975	58.671	41.468	62.357	41.113	101.612	8.547	53.862	54.068	19.923	92.883	65.539	54.519	85.829	34.449	61.241	76.277	71.093	29.342	67.885	56.694	32.848	70.399	72.521	74.509	82.698	84.782	70.069	0	84.006	12.214	0.879	143.975	80.875	0.794	16.21	182.318	0	2.912	95.892	8.644	41.278	41.298	97.261	103.285	77.844	60.088	68.505	100.875	78.518	42.526	63.74	47.128	87.288	25.16	67.844	45.993	29.282	12.276	80.294	49.545	69.304	76.547	29.268	73.65	2.032	69.118	80.128	107.679	23.692	37.997	59.079	8.962	60.834	83.419	38.761	31.939	49.137	18.911	95.582	72.14	164.294	48.738	53.315	16.828	77.524	24.86
SCYL3	13.609	18.611	15.195	15.317	6.725	2.02	5.91	6.143	7.739	19.519	14.725	8.094	10.353	18.789	16.334	6.436	9.638	13.221	16.389	3.704	14.998	14.378	10.866	9.71	3.509	0.868	22.356	19.332	4.615	5.245	17.908	6.342	11.604	7.494	12.157	4.952	9.266	8.721	10.995	10.486	4.72	17.569	21.15	9.259	13.195	13.444	10.568	6.52	9.986	7.361	19.404	3.753	9.955	14.731	6.983	9.053	14.898	8.203	10.785	0	9.318	19.441	6.01	10.248	20.838	3.482	14.213	9.301	1.276	0.567	15.337	10.285	12.44	3.929	0	3.693	7.688	23.043	15.377	21.093	4.963	16.117	13.474	15.166	22.346	0.124	16.37	31.677	9.886	15.749	12.93	7.766	12.037	9.414	9.182	11.914	5.308	4.326	14.21	7.524	15.984	5.955	18.082	18.983	30.786	13.53	5.857	8.167	13.455	3.794	17.225	4.543	5.291	4.355	13.349	10.975	3.958	14.296
C1orf112	9.739	3.636	10.943	3.678	14.179	11.971	8.111	7.637	4.844	9.359	8.235	11.59	4.875	22.633	8.416	13.42	16.411	8.342	9.992	9.08	3.653	3.601	40.925	0.084	17.179	28.138	0.331	25.33	1.588	3.812	12.5	14.258	19.274	7.532	14.914	10.416	7.057	2.751	8.257	4.708	12.585	25.825	0.549	11.896	7.648	12.57	14.826	8.296	3.909	35.282	7.38	31.481	15.095	18.369	7.924	11.896	22.266	18.579	3.332	14.762	6.244	2.946	17.064	5.95	0	15.101	0	7.175	53.898	0	10.425	0	6.494	3.112	14.943	23.343	14.54	16.758	13.247	1.911	3.536	14.707	2.899	6.846	4.815	0.048	3.663	13.843	20.908	10.848	5.414	6.829	19.466	12.769	3.7	0	14.054	6.434	0.073	21.486	1.097	9.223	13.175	6.363	0	3.838	22.257	13.03	26.377	8.396	4.014	6.036	0	11.68	3.513	6.3	18.201	8.934
FGR	204.876	116.866	204.211	196.95	97.42	208.847	184.835	132.355	173.236	142.686	219.074	163.963	177.498	143.184	149.727	218.237	114.269	165.224	235.412	190.354	223.14	130.814	151.074	215.227	123.285	96.831	420.504	163.827	102.497	165.987	609.188	86.804	123.381	290.06	267.12	82.387	213	183.987	123.833	168.197	265.226	112.647	232.019	269.065	136.491	99.624	207.117	208.15	105.877	100.389	190.142	101.771	84.975	132.368	208.433	134.337	316.352	139.496	142.862	212.617	96.704	119.474	230.201	258.046	141.728	227.506	302.564	239.095	238.698	263.989	193.822	299.457	264.416	177.713	177.583	160.28	376.157	209.611	347.592	167.342	342.688	111.624	219.14	192.484	199.883	142.478	268.416	289.104	93.916	236.389	569.525	337.881	160.961	717.815	366.232	264.22	398.663	225.267	178.122	292.71	329.572	521.958	238.476	348.079	214.662	264.205	188.165	193.482	269.408	263.879	358	492.799	232.072	219.705	276.544	274.793	140.516	209.181
CFH	2.35	1.078	2.31	0.475	0.122	5.167	4.951	1.462	2.991	4.84	9.05	7.862	3.035	1.199	8.987	4.183	0.388	3.629	6.133	5.184	8.895	0.32	4.709	14.806	2.387	5.942	0.363	9.855	17.583	1.7	1.397	1.969	3.138	15.676	2.066	1.662	0	3.915	4.24	0.212	6.164	5.001	9.942	4.008	0.392	2.603	2.317	2.954	10.024	0.423	5.362	16.185	3.545	0.175	6.333	6.546	1.631	5.235	1.79	9.213	7.049	5.708	1.107	3.441	5.256	0	0	4.47	6.049	18.654	1.898	0	2.22	0.56	0.507	0	0	8.095	15.999	14.154	5.551	2.155	1.355	2.303	0.035	9.269	5.556	2.898	1.036	7.564	4.938	6.562	3.042	2.173	3.592	3.271	4.606	9.91	7.334	16.235	6.218	14.851	0	10.599	1.245	1.353	0.212	0	4.873	4.346	5.661	0.996	1.892	3.772	4.387	2.778	2.284	9.55
FUCA2	6.12	19.603	9.708	4.314	12.295	19.77	18.081	19.402	16.047	16.113	16.275	3.898	3.228	19.534	3.31	2.44	18.096	6.405	4.327	2.282	18.365	25.409	2.518	4.498	10.968	17.97	45.205	14.759	31.124	12.749	58.391	9.09	0.191	34.195	9.035	7.358	22.688	10.746	10.911	13.308	17.975	5.562	23.965	29.682	21.242	9.487	10.84	5.798	9.396	10.743	12.019	37.591	8.178	28.634	6.996	7.015	20.126	0	12.34	0	19.464	0	29.81	10.704	38.016	0	0	0	28.172	21.536	8.099	0	0.132	0.117	0	30.421	4.769	6.426	33.867	25.163	34.052	7.825	1.495	3.792	7.06	66.863	15.872	5.089	4.911	1.303	69.285	8.148	0	37.483	16.601	4.852	3.424	0	1.489	18.181	28.605	45.362	3.409	0.076	20.684	29.706	6.021	3.701	45.246	8.796	6.789	22.673	4.442	9.793	5.222	0.638	13.051	13.624
GCLC	24.593	31.723	34.306	21.551	16.924	26.171	22.025	10.256	41.359	23.404	26.713	18.035	29.772	41.289	23.983	18.523	9.012	28.066	22.739	3.686	17.427	10.542	14.492	25.397	14.036	11.126	9.526	6.022	7.798	18.418	9.358	15.404	12.378	21.207	17.052	11.305	17.826	13.234	26.024	32.292	28.74	28.604	15.646	9.828	23.964	6.978	12.642	6.849	16.477	5.917	12.9	19.398	9.371	11.645	12.022	17.571	4.295	17.209	12.419	40.979	14.836	29.446	27.663	20.856	33.277	10.976	19.837	10.644	30.041	9.622	24.07	0.043	23.263	22.835	28.788	15.224	26.273	14.701	51.528	18.646	13.944	5.554	19.073	13.018	16.584	49.469	21.435	35.764	11.44	13.139	10.66	20.168	21.908	15.474	22.408	26.727	20.137	37.885	26.219	26.663	5.479	10.311	22.258	13.738	19.255	20.842	27.305	31.934	8.706	9.598	20.846	15.312	19.117	6.999	16.277	25.161	18.929	5.836
NFYA	56.871	52.859	66.794	66.619	52.369	46.404	68.924	32.317	45.85	108.347	66.084	48.477	66.553	35.171	54.936	72.423	21.275	58.98	45.879	50.175	54.511	37.414	69.612	76.078	43.438	34.649	35.588	60.723	22.518	62.159	78.786	76.323	34.929	47.977	66.683	41.3	71.337	30.147	35.717	60.558	32.103	46.605	59.447	53.432	45.745	43	46.736	23.187	46.016	68.924	51.525	48.498	25.217	52.65	23.994	64.221	58.82	65.895	47.236	88.005	36.223	10.117	24.213	49.889	97.402	100.739	117.642	34.541	12.729	0	35.614	29.136	72.339	56.935	21.319	20.376	98.995	32.294	34.628	99.809	76.449	32.585	58.528	71.138	70.961	128.762	56.707	72.693	16.472	73.397	73.715	73.946	19.014	44.237	36.499	52.017	44.075	43.911	22.22	66.954	56.477	41.819	69.848	75.582	26.384	64.406	40.053	73.352	29.03	42.637	78.09	64.961	77.868	50.88	42.86	34.315	44.62	48.87
