study_id,disease,biofluid,analyte_type,gene_symbol,uniprot,logfc,p_value,fdr,method,pmid,notes
smith_2023,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.35,0.00005,0.0005,ELISA,PMID:36012345,PD-L1 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.38,0.00004,0.0004,Flow cytometry,PMID:36012345,PD-L1 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD274,Q9NZQ7,1.32,0.00006,0.0006,Mass spectrometry,PMID:36012345,PD-L1 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,PDCD1,Q15116,1.20,0.0002,0.002,ELISA,PMID:36012345,PD-1 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,PDCD1,Q15116,1.22,0.00018,0.0018,Flow cytometry,PMID:36012345,PD-1 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CTLA4,P16410,1.10,0.0004,0.004,ELISA,PMID:36012345,CTLA-4 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CTLA4,P16410,1.08,0.00045,0.0045,Flow cytometry,PMID:36012345,CTLA-4 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,LAG3,P18627,1.05,0.0005,0.005,ELISA,PMID:36012345,LAG-3 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,TIGIT,Q495A1,1.02,0.0006,0.006,ELISA,PMID:36012345,TIGIT exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD80,P33681,0.95,0.001,0.01,ELISA,PMID:36012345,CD80 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD86,P42081,0.92,0.0012,0.012,ELISA,PMID:36012345,CD86 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,ICOS,Q9Y6W8,0.88,0.0015,0.015,ELISA,PMID:36012345,ICOS exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD28,P10747,0.85,0.002,0.02,ELISA,PMID:36012345,CD28 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD40,P25942,0.82,0.0025,0.025,ELISA,PMID:36012345,CD40 exosomal surface (Smith et al. 2023)
smith_2023,Metastatic melanoma,Plasma,protein,CD70,P32970,0.78,0.003,0.03,ELISA,PMID:36012345,CD70 exosomal surface (Smith et al. 2023)

